Fiscal Year ,East Asia and the Pacific ,Europe and Central Asia,Latin America and the Caribbean,Middle East and North Africa,South Asia,Sub-Saharan Africa,Global
2009,,2146.15,,1260.07,1214.62,1823.98,184.39
2010,,2969.7,,1571.68,1060.96,2428.21,80.34
2011,,2682.45,,1603.26,742.45,2150.15,50.32
2012,2548,2915,3680,2210,1312,2733,63
2013,2873,3261,4822,2038,1697,3501,156
2014,2771,3478,4057,1698,1558,3540,158
2015,2288,1534,2379,893,1402,1831,212
2016,2307,2131,2688,955,1428,1398,210
2017,1738,2084,2693,951,1982,2323,84
2018,1940,2256,2509,1010,2080,1566,268
2019,1575,745,2491,520,1848,1724,16
2020,2490,1345,3165,617,1314,2188,17
2021,2830,1962,2792,928,1516,2435,12
2022,2965,1930,3164,254,1605,2643,8
